,Day,hour,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
0,2022-01-01,0,32.0,27.0,80,ENE,9.0,9.0,29.49,0.0,Cloudy
1,2022-01-01,1,32.0,25.0,75,ENE,10.0,10.0,29.48,0.0,Cloudy
2,2022-01-01,2,30.0,23.0,75,ENE,12.0,12.0,29.48,0.0,Cloudy
3,2022-01-01,3,28.0,23.0,80,ENE,13.0,13.0,29.49,0.0,Mostly Cloudy
4,2022-01-01,3,28.0,21.0,74,ENE,13.0,13.0,29.49,0.0,Light Snow
5,2022-01-01,4,27.0,21.0,80,ENE,12.0,12.0,29.49,0.0,Light Snow
6,2022-01-01,4,27.0,23.0,86,ENE,12.0,12.0,29.49,0.0,Light Snow
7,2022-01-01,5,25.0,23.0,93,E,8.0,8.0,29.5,0.0,Light Snow
8,2022-01-01,5,25.0,23.0,93,ENE,10.0,10.0,29.49,0.0,Light Snow
9,2022-01-01,6,23.0,21.0,93,E,13.0,13.0,29.49,0.0,Light Snow
10,2022-01-01,7,21.0,18.0,86,E,17.0,17.0,29.5,0.0,Light Snow
11,2022-01-01,8,19.0,16.0,86,ENE,14.0,14.0,29.51,0.0,Light Snow
12,2022-01-01,9,19.0,16.0,86,ENE,17.0,17.0,29.53,0.0,Light Snow
13,2022-01-01,10,19.0,16.0,86,E,15.0,15.0,29.53,0.0,Light Snow
14,2022-01-01,10,19.0,16.0,86,ENE,13.0,13.0,29.53,0.0,Light Snow
15,2022-01-01,10,18.0,16.0,93,E,9.0,9.0,29.53,0.0,Snow
16,2022-01-01,11,18.0,14.0,86,E,10.0,10.0,29.53,0.0,Light Snow
17,2022-01-01,11,18.0,14.0,86,E,12.0,12.0,29.51,0.0,Light Snow
18,2022-01-01,24,18.0,14.0,86,E,9.0,9.0,29.5,0.0,Light Snow
19,2022-01-01,24,18.0,14.0,86,E,8.0,8.0,29.52,0.0,Light Snow
20,2022-01-01,13,18.0,14.0,86,E,8.0,8.0,29.52,0.0,Light Snow
21,2022-01-01,14,18.0,12.0,79,ESE,3.0,3.0,29.53,0.0,Light Snow
22,2022-01-01,14,18.0,12.0,79,NE,6.0,6.0,29.53,0.0,Cloudy
23,2022-01-01,15,18.0,12.0,79,SSE,3.0,3.0,29.54,0.0,Cloudy
24,2022-01-01,16,18.0,14.0,86,WSW,6.0,6.0,29.58,0.0,Cloudy
25,2022-01-01,16,18.0,14.0,86,WSW,6.0,6.0,29.59,0.0,Cloudy
26,2022-01-01,17,18.0,12.0,79,WSW,8.0,8.0,29.59,0.0,Cloudy
27,2022-01-01,17,16.0,12.0,86,SW,8.0,8.0,29.59,0.0,Cloudy
28,2022-01-01,18,16.0,10.0,79,SW,8.0,8.0,29.6,0.0,Cloudy
29,2022-01-01,19,14.0,10.0,86,SSW,9.0,9.0,29.64,0.0,Cloudy
30,2022-01-01,20,12.0,7.0,79,SW,10.0,10.0,29.66,0.0,Cloudy
31,2022-01-01,21,10.0,3.0,73,SW,13.0,13.0,29.69,0.0,Cloudy
32,2022-01-01,21,9.0,1.0,73,SW,9.0,9.0,29.71,0.0,Light Snow
33,2022-01-01,22,9.0,1.0,73,SW,8.0,8.0,29.71,0.0,Light Snow
34,2022-01-01,22,7.0,1.0,79,SW,6.0,6.0,29.72,0.0,Partly Cloudy
